time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-03-03T13:56:24.138Z,0.3391573,-78.1426523,,22.325,,,0,network,,,,,,,,30,
2020-03-03T13:56:36.406Z,0.3393580298870802,-78.14266892150044,2232.0,9.5,1.7,4.0499997,13,gps,0.6,1.2,1.4,13.6,,,,30,
2020-03-03T13:57:01.252Z,0.3405164,-78.1423047,2246.800048828125,24.3,,,0,network,,,,,,,,30,
2020-03-03T14:00:23.867Z,0.3415543818846345,-78.13446689397097,2228.0,13.0,0.0,0.11,12,gps,0.8,1.2,1.4,13.6,,,,30,
2020-03-03T14:00:31.363Z,0.34155630972236395,-78.13458641991019,2241.0,7.0,0.0,0.39999998,17,gps,0.4,0.8,1.0,13.6,,,,30,
2020-03-03T14:00:39.000Z,0.3415522025898099,-78.13456043601036,2235.0,9.0,283.7,0.81,17,gps,0.4,0.8,1.0,13.6,,,,30,
2020-03-03T14:00:44.511Z,0.3415364446118474,-78.13448357395828,2227.0,8.5,108.1,2.62,13,gps,0.6,1.0,1.2,13.6,,,,30,
2020-03-03T14:00:50.112Z,0.34138569608330727,-78.13430679962039,2231.0,8.5,112.0,6.3799996,12,gps,0.6,1.0,1.2,13.6,,,,29,
2020-03-03T14:00:55.901Z,0.3412647033110261,-78.13393740914762,2242.0,10.5,114.7,6.6499996,9,gps,0.8,1.0,1.4,13.6,,,,29,
2020-03-03T14:01:01.318Z,0.3411075845360756,-78.13368461094797,2250.0,14.0,108.2,4.52,7,gps,1.2,2.0,2.4,13.6,,,,29,
2020-03-03T14:01:07.096Z,0.3409770783036947,-78.13344991765916,2228.0,14.0,106.2,5.27,8,gps,1.2,1.4,1.8,13.6,,,,29,
2020-03-03T14:01:12.798Z,0.34092326648533344,-78.13309636898339,2251.0,13.0,107.7,5.72,9,gps,1.2,2.0,2.2,13.6,,,,29,
2020-03-03T14:01:18.000Z,0.3407865995541215,-78.13290853053331,2229.0,16.5,89.2,3.1399999,6,gps,1.8,3.0,3.6,13.6,,,,29,
2020-03-03T14:01:23.542Z,0.34073077607899904,-78.13284725882113,2229.0,9.0,0.0,0.64,14,gps,0.6,1.0,1.2,13.6,,,,29,
2020-03-03T14:01:29.128Z,0.3406755393370986,-78.13278816640377,2199.0,10.5,0.0,0.56,10,gps,1.0,1.8,2.2,13.6,,,,29,
2020-03-03T14:01:34.632Z,0.3408089792355895,-78.13276729546487,2235.0,10.5,26.7,3.6999998,10,gps,0.8,1.2,1.6,13.6,,,,29,
2020-03-03T14:01:40.000Z,0.3411224205046892,-78.1327845621854,2232.0,11.5,27.7,6.93,9,gps,1.0,1.2,1.4,13.6,,,,29,
2020-03-03T14:01:45.504Z,0.34147110767662525,-78.1324668880552,2246.0,9.0,25.8,6.64,8,gps,1.0,1.4,1.8,13.6,,,,29,
2020-03-03T14:01:50.922Z,0.3416897915303707,-78.1323564145714,2234.0,10.0,22.3,5.23,10,gps,0.8,1.2,1.4,13.6,,,,29,
2020-03-03T14:01:56.000Z,0.3419330343604088,-78.13228131271899,2224.0,15.0,17.2,5.7599998,5,gps,1.4,3.4,3.8,13.6,,,,29,
2020-03-03T14:02:01.793Z,0.34211844205856323,-78.1321283429861,2240.0,9.0,22.8,2.3799999,12,gps,0.6,1.0,1.4,13.6,,,,29,
2020-03-03T14:02:07.000Z,0.3423322644084692,-78.13204787671566,2236.0,13.5,23.6,5.74,5,gps,1.6,2.2,2.8,13.6,,,,29,
2020-03-03T14:02:12.735Z,0.34261930268257856,-78.13193581067026,2240.0,8.0,26.7,6.89,12,gps,0.6,1.2,1.4,13.6,,,,29,
2020-03-03T14:02:18.416Z,0.34289087634533644,-78.13188023865223,2249.0,8.5,22.9,5.77,11,gps,0.6,1.4,1.6,13.6,,,,29,
2020-03-03T14:02:24.053Z,0.34316190518438816,-78.13169281929731,2245.0,10.5,37.0,6.52,9,gps,0.8,1.4,1.6,13.6,,,,29,
2020-03-03T14:02:30.000Z,0.3433435410261154,-78.1315447948873,2241.0,9.5,8.6,0.089999996,11,gps,0.8,1.6,1.8,13.6,,,,29,
2020-03-03T14:02:35.670Z,0.34342069644480944,-78.13141847960651,2241.0,10.0,0.0,0.0,10,gps,0.8,1.6,1.8,13.6,,,,29,
2020-03-03T14:02:41.000Z,0.34354470670223236,-78.13130800612271,2297.0,12.5,0.0,0.32,8,gps,1.2,2.8,3.0,13.6,,,,29,
2020-03-03T14:02:46.675Z,0.34345355350524187,-78.13128428533673,2271.0,15.0,0.0,0.78999996,8,gps,1.0,2.2,2.6,13.6,,,,29,
2020-03-03T14:02:52.162Z,0.3435302060097456,-78.13146675936878,2248.0,10.5,24.5,3.51,9,gps,0.8,1.6,1.8,13.6,,,,29,
2020-03-03T14:02:57.790Z,0.3435992728918791,-78.13141454011202,2252.0,9.5,25.3,3.9599998,10,gps,0.6,1.6,1.8,13.6,,,,29,
2020-03-03T14:03:03.191Z,0.34391464199870825,-78.13140146434307,2234.0,11.5,348.1,6.47,10,gps,1.0,2.2,2.4,13.6,,,,29,
2020-03-03T14:03:08.573Z,0.34424861893057823,-78.13158293254673,2227.0,10.0,347.5,5.87,12,gps,0.8,1.6,1.8,13.6,,,,29,
2020-03-03T14:03:14.000Z,0.3442824399098754,-78.13158511184156,2234.0,11.0,0.2,2.1,10,gps,0.8,1.6,1.8,13.6,,,,29,
2020-03-03T14:03:19.640Z,0.3443925781175494,-78.13133507966995,2237.0,9.0,75.9,5.97,11,gps,0.6,1.0,1.4,13.6,,,,29,
2020-03-03T14:03:25.000Z,0.344405947253108,-78.13108454458416,2228.0,9.0,62.1,3.8,13,gps,0.8,1.4,1.6,13.6,,,,29,
2020-03-03T14:03:30.743Z,0.3446650318801403,-78.13107389956713,2216.0,9.5,343.5,6.0899997,14,gps,0.6,1.0,1.2,13.6,,,,29,
2020-03-03T14:03:36.757Z,0.3450782597064972,-78.13104556873441,2253.0,13.0,346.4,8.61,7,gps,1.0,1.6,1.8,13.6,,,,29,
2020-03-03T14:03:42.242Z,0.34567153081297874,-78.13120088540018,2254.0,17.5,345.7,9.83,5,gps,1.4,3.6,3.8,13.6,,,,29,
2020-03-03T14:03:47.559Z,0.3460289351642132,-78.13137330114841,2245.0,13.0,346.1,7.22,9,gps,1.0,2.2,2.4,13.6,,,,29,
2020-03-03T14:03:52.175Z,0.34606195986270905,-78.13148117624223,2211.0,14.0,0.0,2.6599998,5,gps,1.6,3.2,3.6,13.6,,,,29,
2020-03-03T14:03:58.000Z,0.3464663866907358,-78.1314863730222,2230.0,12.5,340.8,6.0699997,15,gps,0.6,0.8,1.0,13.6,,,,29,
