time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-03-03T13:50:18.007Z,0.33908951561897993,-78.14008587040007,2241.0,22.0,0.0,0.0,8,gps,1.2,1.4,1.8,13.6,,,,31,
2020-03-03T13:50:18.256Z,0.3390872,-78.1404614,2246.800048828125,31.22,,,0,network,,,,,,,,31,
2020-03-03T13:50:28.120Z,0.3389665111899376,-78.1400272808969,2237.0,32.0,50.3,0.45,4,gps,2.4,4.0,4.6,13.6,,,,31,
2020-03-03T13:50:28.294Z,0.3389834,-78.1403737,2246.5,24917,,,0,network,,,,,,,,31,
2020-03-03T13:50:37.978Z,0.3390157548710704,-78.14016038551927,2238.0,13.5,296.7,1.02,9,gps,0.8,1.0,1.2,13.6,,,,31,
2020-03-03T13:50:38.154Z,0.3390148,-78.1403577,2246.5,23.62,,,0,network,,,,,,,,31,
2020-03-03T13:50:47.772Z,0.33901382703334093,-78.14032014459372,2241.0,12.0,292.1,0.63,9,gps,0.8,1.2,1.6,13.6,,,,31,
2020-03-03T13:50:53.105Z,0.3390323091298342,-78.1403520796448,2245.0,8.0,249.2,0.87,11,gps,0.8,1.2,1.6,13.6,,,,31,
2020-03-03T13:50:58.439Z,0.33902103547006845,-78.14037202857435,2249.0,6.5,253.5,0.61,12,gps,0.8,1.2,1.6,13.6,,,,31,
2020-03-03T13:51:03.748Z,0.3390261484310031,-78.14038091339171,2251.0,5.5,274.4,0.77,11,gps,0.8,1.6,1.8,13.6,,,,31,
2020-03-03T13:51:09.092Z,0.3390330635011196,-78.140426594764,2247.0,6.0,277.2,0.83,10,gps,0.8,1.6,1.8,13.6,,,,31,
2020-03-03T13:51:14.471Z,0.3390905214473605,-78.14046909101307,2245.0,7.0,337.1,1.23,13,gps,0.6,1.0,1.2,13.6,,,,31,
2020-03-03T13:51:19.807Z,0.3391050221398473,-78.14050546847284,2244.0,5.5,271.4,0.77,12,gps,0.8,1.2,1.4,13.6,,,,31,
2020-03-03T13:51:24.121Z,0.3390916530042887,-78.14055182039738,2240.0,7.5,273.8,1.61,8,gps,1.2,1.4,1.8,13.6,,,,31,
2020-03-03T13:51:29.475Z,0.33909919671714306,-78.14063572324812,2239.0,10.0,284.0,1.02,11,gps,0.6,1.0,1.2,13.6,,,,31,
2020-03-03T13:51:29.789Z,0.3390925,-78.1408118,,30881,,,0,network,,,,,,,,31,
2020-03-03T13:51:39.511Z,0.3390485281124711,-78.14040371216834,2244.0,7.5,331.5,1.0799999,15,gps,0.6,0.8,1.0,13.6,,,,31,
2020-03-03T13:51:39.827Z,0.339115,-78.1409323,,33914,,,0,network,,,,,,,,31,
2020-03-03T13:51:49.491Z,0.33908850979059935,-78.14044092781842,2245.0,8.0,262.9,0.78,16,gps,0.4,0.8,1.0,13.6,,,,31,
