type,date time,lat,lon,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-07-21 13:27:53,0.33909706,-78.14091886,4,2243000,0,24,33,20210721-082753,GPS Logger: 20210721-082753 - Inclinacion,,
T,2021-07-21 13:27:56,0.33910641,-78.14091953,3,2243000,680,356,24,34,,,
T,2021-07-21 13:27:56,0.33910641,-78.14091953,3,2243000,680,356,24,34,,,
T,2021-07-21 13:28:08,0.33911885,-78.14095717,3,2244000,1100,222,24,32,,,
T,2021-07-21 13:28:11,0.33910196,-78.14097343,3,2245000,780,237,22,31,,,
T,2021-07-21 13:28:14,0.33912116,-78.14098366,2,2245000,910,338,23,32,,,
T,2021-07-21 13:28:17,0.33913842,-78.14098433,3,2242000,700,12,23,32,,,
T,2021-07-21 13:28:23,0.33915016,-78.14103495,3,2239000,910,252,24,33,,,
T,2021-07-21 13:28:26,0.33912908,-78.14106622,2,2238000,1200,237,23,33,,,
T,2021-07-21 13:28:35,0.33911231,-78.14112565,3,2236000,330,321,21,33,,,
T,2021-07-21 13:28:38,0.33913046,-78.14113713,2,2234000,1010,330,24,32,,,
T,2021-07-21 13:28:44,0.33917815,-78.14117074,2,2233000,1000,303,23,32,,,
T,2021-07-21 13:28:47,0.33917874,-78.14119454,2,2233000,750,281,24,32,,,
T,2021-07-21 13:28:56,0.33913017,-78.14127208,2,2233000,1100,259,21,31,,,
T,2021-07-21 13:28:59,0.33914651,-78.14129999,2,2232000,1100,318,21,30,,,
T,2021-07-21 13:29:02,0.33917430,-78.14130929,2,2232000,990,355,24,32,,,
T,2021-07-21 13:29:14,0.33918038,-78.14138825,2,2233000,1060,230,22,31,,,
T,2021-07-21 13:29:20,0.33915858,-78.14144223,2,2234000,1060,270,24,32,,,
T,2021-07-21 13:29:35,0.33923197,-78.14154147,3,2237000,1100,246,23,30,,,
T,2021-07-21 13:29:44,0.33920871,-78.14163292,2,2235000,1190,303,22,32,,,
T,2021-07-21 13:29:50,0.33924207,-78.14169126,2,2235000,1090,291,24,31,,,
T,2021-07-21 13:29:59,0.33919735,-78.14175789,3,2235000,1020,250,21,30,,,
T,2021-07-21 13:30:02,0.33921290,-78.14178874,3,2235000,1190,316,21,32,,,
T,2021-07-21 13:30:08,0.33923880,-78.14183509,2,2235000,1120,234,23,31,,,
T,2021-07-21 13:30:32,0.33923335,-78.14201295,3,2232000,970,265,21,31,,,
T,2021-07-21 13:30:41,0.33917887,-78.14209669,3,2233000,970,229,20,33,,,
T,2021-07-21 13:30:44,0.33918235,-78.14210683,3,2233000,640,286,21,32,,,
T,2021-07-21 13:30:53,0.33920225,-78.14219266,3,2231000,1080,258,22,32,,,
T,2021-07-21 13:30:59,0.33919123,-78.14224463,3,2232000,1000,248,22,31,,,
T,2021-07-21 13:31:11,0.33918926,-78.14233742,3,2231000,680,312,23,31,,,
T,2021-07-21 13:31:17,0.33918574,-78.14239098,3,2231000,880,251,22,32,,,
T,2021-07-21 13:31:26,0.33916969,-78.14244404,3,2233000,640,322,21,32,,,
T,2021-07-21 13:31:29,0.33916629,-78.14244613,3,2233000,670,242,23,33,,,
T,2021-07-21 13:31:35,0.33914949,-78.14248444,3,2233000,1070,264,20,34,,,
T,2021-07-21 13:31:38,0.33914484,-78.14250589,3,2232000,800,252,21,33,,,
T,2021-07-21 13:31:44,0.33914794,-78.14256742,3,2233000,890,267,24,33,,,
T,2021-07-21 13:32:54,0.33913004,-78.14259709,4,2238000,0,24,28,,,,
