type,date time,lat,lon,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-07-21 13:27:53,0.33909706,-78.14091886,4,2243000,0,24,33,20210721-082753,GPS Logger: 20210721-082753 - Inclinacion,,
T,2021-07-21 13:27:56,0.33910641,-78.14091953,3,2243000,680,356,24,34,,,
T,2021-07-21 13:27:59,0.33913151,-78.14091685,3,2243000,390,9,24,33,,,
T,2021-07-21 13:28:02,0.33913968,-78.14091635,3,2244000,620,310,23,31,,,
T,2021-07-21 13:28:05,0.33913943,-78.14093898,3,2244000,940,238,22,32,,,
T,2021-07-21 13:28:08,0.33911885,-78.14095717,3,2244000,1100,222,24,32,,,
T,2021-07-21 13:28:11,0.33910196,-78.14097343,3,2245000,780,237,22,31,,,
T,2021-07-21 13:28:14,0.33912116,-78.14098366,2,2245000,910,338,23,32,,,
T,2021-07-21 13:28:17,0.33913842,-78.14098433,3,2242000,700,12,23,32,,,
T,2021-07-21 13:28:20,0.33915875,-78.14100193,3,2241000,1090,301,22,33,,,
T,2021-07-21 13:28:23,0.33915016,-78.14103495,3,2239000,910,252,24,33,,,
T,2021-07-21 13:28:26,0.33912908,-78.14106622,2,2238000,1200,237,23,33,,,
T,2021-07-21 13:28:29,0.33910825,-78.14109254,3,2237000,780,230,23,33,,,
T,2021-07-21 13:28:32,0.33909568,-78.14111332,3,2237000,1000,266,22,31,,,
T,2021-07-21 13:28:35,0.33911231,-78.14112565,3,2236000,330,321,21,33,,,
T,2021-07-21 13:28:38,0.33913046,-78.14113713,2,2234000,1010,330,24,32,,,
T,2021-07-21 13:28:41,0.33916030,-78.14115423,2,2234000,1070,330,22,31,,,
T,2021-07-21 13:28:44,0.33917815,-78.14117074,2,2233000,1000,303,23,32,,,
T,2021-07-21 13:28:47,0.33917874,-78.14119454,2,2233000,750,281,24,32,,,
T,2021-07-21 13:28:50,0.33916797,-78.14121768,2,2232000,1050,235,23,32,,,
T,2021-07-21 13:28:53,0.33914253,-78.14124450,2,2233000,1070,232,22,32,,,
T,2021-07-21 13:28:56,0.33913017,-78.14127208,2,2233000,1100,259,21,31,,,
T,2021-07-21 13:28:59,0.33914651,-78.14129999,2,2232000,1100,318,21,30,,,
T,2021-07-21 13:29:02,0.33917430,-78.14130929,2,2232000,990,355,24,32,,,
T,2021-07-21 13:29:05,0.33919701,-78.14131843,2,2232000,560,300,22,30,,,
T,2021-07-21 13:29:08,0.33920347,-78.14134148,2,2231000,930,275,24,32,,,
T,2021-07-21 13:29:11,0.33919785,-78.14136202,2,2232000,740,257,22,30,,,
T,2021-07-21 13:29:14,0.33918038,-78.14138825,2,2233000,1060,230,22,31,,,
T,2021-07-21 13:29:17,0.33916445,-78.14141314,2,2234000,1230,238,23,31,,,
T,2021-07-21 13:29:20,0.33915858,-78.14144223,2,2234000,1060,270,24,32,,,
T,2021-07-21 13:29:23,0.33917903,-78.14146821,2,2234000,1090,322,23,30,,,
T,2021-07-21 13:29:26,0.33920766,-78.14148724,3,2235000,1290,336,24,31,,,
T,2021-07-21 13:29:29,0.33923301,-78.14150065,2,2236000,640,306,23,31,,,
T,2021-07-21 13:29:32,0.33924295,-78.14151247,2,2236000,840,282,24,31,,,
T,2021-07-21 13:29:35,0.33923197,-78.14154147,3,2237000,1100,246,23,30,,,
T,2021-07-21 13:29:38,0.33921139,-78.14157416,3,2235000,1330,233,23,31,,,
T,2021-07-21 13:29:41,0.33919844,-78.14160484,3,2235000,1480,264,21,31,,,
T,2021-07-21 13:29:44,0.33920871,-78.14163292,2,2235000,1190,303,22,32,,,
T,2021-07-21 13:29:47,0.33922266,-78.14166393,3,2236000,1140,299,21,32,,,
T,2021-07-21 13:29:50,0.33924207,-78.14169126,2,2235000,1090,291,24,31,,,
T,2021-07-21 13:29:53,0.33923067,-78.14171548,2,2236000,1250,221,20,28,,,
T,2021-07-21 13:29:56,0.33921017,-78.14173518,3,2236000,1100,230,20,29,,,
T,2021-07-21 13:29:59,0.33919735,-78.14175789,3,2235000,1020,250,21,30,,,
T,2021-07-21 13:30:02,0.33921290,-78.14178874,3,2235000,1190,316,21,32,,,
T,2021-07-21 13:30:05,0.33923892,-78.14181221,2,2235000,1150,320,22,32,,,
T,2021-07-21 13:30:08,0.33923880,-78.14183509,2,2235000,1120,234,23,31,,,
T,2021-07-21 13:30:11,0.33921797,-78.14185202,2,2235000,930,210,22,29,,,
T,2021-07-21 13:30:14,0.33919731,-78.14187189,3,2234000,1060,230,23,30,,,
T,2021-07-21 13:30:17,0.33919115,-78.14189184,2,2234000,700,269,22,30,,,
T,2021-07-21 13:30:20,0.33921407,-78.14191430,2,2233000,1140,326,23,31,,,
T,2021-07-21 13:30:23,0.33922840,-78.14193844,3,2233000,1020,290,22,30,,,
T,2021-07-21 13:30:26,0.33922907,-78.14197398,3,2233000,1220,257,21,31,,,
T,2021-07-21 13:30:29,0.33923130,-78.14199904,3,2232000,880,258,22,31,,,
T,2021-07-21 13:30:32,0.33923335,-78.14201295,3,2232000,970,265,21,31,,,
T,2021-07-21 13:30:35,0.33922601,-78.14203709,3,2232000,900,246,22,30,,,
T,2021-07-21 13:30:38,0.33920401,-78.14206794,3,2232000,1070,227,23,32,,,
T,2021-07-21 13:30:41,0.33917887,-78.14209669,3,2233000,970,229,20,33,,,
T,2021-07-21 13:30:44,0.33918235,-78.14210683,3,2233000,640,286,21,32,,,
T,2021-07-21 13:30:47,0.33919362,-78.14212913,3,2231000,700,294,22,33,,,
T,2021-07-21 13:30:50,0.33919831,-78.14216282,3,2231000,980,256,21,32,,,
T,2021-07-21 13:30:53,0.33920225,-78.14219266,3,2231000,1080,258,22,32,,,
T,2021-07-21 13:30:56,0.33919949,-78.14222233,3,2231000,950,258,23,31,,,
T,2021-07-21 13:30:59,0.33919123,-78.14224463,3,2232000,1000,248,22,31,,,
T,2021-07-21 13:31:02,0.33917099,-78.14226223,3,2232000,1160,233,23,30,,,
T,2021-07-21 13:31:05,0.33915452,-78.14228931,3,2232000,1040,261,23,30,,,
T,2021-07-21 13:31:08,0.33917212,-78.14231839,3,2232000,980,316,22,30,,,
T,2021-07-21 13:31:11,0.33918926,-78.14233742,3,2231000,680,312,23,31,,,
T,2021-07-21 13:31:14,0.33918960,-78.14236457,3,2231000,880,263,20,32,,,
T,2021-07-21 13:31:17,0.33918574,-78.14239098,3,2231000,880,251,22,32,,,
T,2021-07-21 13:31:20,0.33916797,-78.14240514,3,2232000,970,208,22,32,,,
T,2021-07-21 13:31:23,0.33916059,-78.14242551,3,2233000,970,270,21,33,,,
T,2021-07-21 13:31:26,0.33916969,-78.14244404,3,2233000,640,322,21,32,,,
T,2021-07-21 13:31:29,0.33916629,-78.14244613,3,2233000,670,242,23,33,,,
T,2021-07-21 13:31:32,0.33915636,-78.14245963,3,2233000,970,222,23,33,,,
T,2021-07-21 13:31:35,0.33914949,-78.14248444,3,2233000,1070,264,20,34,,,
T,2021-07-21 13:31:38,0.33914484,-78.14250589,3,2232000,800,252,21,33,,,
T,2021-07-21 13:31:41,0.33914630,-78.14253540,3,2232000,940,266,20,33,,,
T,2021-07-21 13:31:44,0.33914794,-78.14256742,3,2233000,890,267,24,33,,,
T,2021-07-21 13:31:47,0.33913419,-78.14258921,2,2232000,510,244,22,33,,,
T,2021-07-21 13:32:54,0.33913004,-78.14259709,4,2238000,0,24,28,,,,
